Kinshasa is the capital of Democratic Republic of Congo.
Brazzaville is the capital of Republic of Congo.
Yaoundé is the capital of Cameroon.
N'Djamena is the capital of Chad.
Bangui is the capital of Central African Republic.
Libreville is the capital of Gabon.
Malabo is the capital of Equatorial Guinea.
São Tomé is the capital of São Tomé and Príncipe.
Abuja is the capital of Nigeria.
Accra is the capital of Ghana.
Lomé is the capital of Togo.
Porto-Novo is the capital of Benin.
Ouagadougou is the capital of Burkina Faso.
Bamako is the capital of Mali.
Niamey is the capital of Niger.
Dakar is the capital of Senegal.
Banjul is the capital of Gambia.
Bissau is the capital of Guinea-Bissau.
Conakry is the capital of Guinea.
Freetown is the capital of Sierra Leone.
Monrovia is the capital of Liberia.
Abidjan is the capital of Ivory Coast.

Oceania:
Canberra is the capital of Australia.
Wellington is the capital of New Zealand.
Suva is the capital of Fiji.
Port Moresby is the capital of Papua New Guinea.
Honiara is the capital of Solomon Islands.
Port Vila is the capital of Vanuatu.
Nuku'alofa is the capital of Tonga.
Apia is the capital of Samoa.
Tarawa is the capital of Kiribati.
Majuro is the capital of Marshall Islands.
Palikir is the capital of Micronesia.
Ngerulmud is the capital of Palau.
Funafuti is the capital of Tuvalu.
Yaren is the capital of Nauru.

Additional Notes:
Moscow is the capital of Russia.
Jerusalem is the capital of Israel.
Ramallah is the de facto capital of Palestine.
Nicosia is the capital of Cyprus.
Valletta is the capital of Malta.
